Time,Average Thrust
1.119,92.653
1.12,93.581
1.121,94.536
1.122,95.514
1.123,96.338
1.124,97.214
1.125,98.025
1.126,98.870
1.127,99.696
1.128,100.586
1.129,101.399
1.13,102.057
1.131,102.788
1.132,103.623
1.133,104.761
1.134,105.539
1.135,106.383
1.136,107.137
1.137,107.940
1.138,108.759
1.139,109.559
1.14,110.203
1.141,110.875
1.142,111.540
1.143,112.136
1.144,112.812
1.145,113.515
1.146,114.087
1.147,114.642
1.148,115.196
1.149,115.848
1.15,116.404
1.151,117.023
1.152,117.640
1.153,118.271
1.154,118.851
1.155,119.489
1.156,120.045
1.157,121.199
1.158,121.604
1.159,122.076
1.16,122.543
1.161,122.947
1.162,123.394
1.163,123.730
1.164,124.060
1.165,124.433
1.166,124.772
1.167,125.119
1.168,125.486
1.169,125.867
1.17,126.330
1.171,126.712
1.172,127.041
1.173,127.567
1.174,127.815
1.175,127.984
1.176,128.295
1.177,128.613
1.178,128.744
1.179,129.026
1.18,129.192
1.181,129.220
1.182,129.405
1.183,129.714
1.184,129.893
1.185,130.064
1.186,130.366
1.187,130.604
1.188,130.825
1.189,131.015
1.19,131.187
1.191,131.251
1.192,131.320
1.193,131.474
1.194,131.617
1.195,131.703
1.196,131.738
1.197,131.686
1.198,131.757
1.199,131.833
1.2,131.900
1.201,132.023
1.202,132.098
1.203,132.252
1.204,132.389
1.205,132.495
1.206,132.511
1.207,132.588
1.208,132.539
1.209,132.440
1.21,132.476
1.211,132.600
1.212,132.501
1.213,132.423
1.214,132.415
1.215,132.292
1.216,132.315
1.217,132.390
1.218,132.347
1.219,132.350
1.22,132.486
1.221,132.536
1.222,132.530
1.223,132.522
1.224,132.502
1.225,132.455
1.226,132.318
1.227,132.339
1.228,132.416
1.229,132.280
1.23,132.193
1.231,132.104
1.232,132.053
1.233,132.025
1.234,132.033
1.235,131.971
1.236,132.018
1.237,132.068
1.238,132.068
1.239,132.022
1.24,132.077
1.241,131.988
1.242,131.841
1.243,131.782
1.244,131.835
1.245,131.806
1.246,131.578
1.247,131.533
1.248,131.527
1.249,131.400
1.25,131.331
1.251,131.381
1.252,131.396
1.253,131.378
1.254,131.411
1.255,131.420
1.256,131.372
1.257,131.393
1.258,131.280
1.259,131.170
1.26,131.163
1.261,131.198
1.262,131.064
1.263,131.009
1.264,130.909
1.265,130.872
1.266,130.793
1.267,130.811
1.268,130.783
1.269,130.783
1.27,130.845
1.271,130.890
1.272,130.828
1.273,130.859
1.274,130.868
1.275,130.703
1.276,130.664
1.277,130.604
1.278,130.655
1.279,130.544
1.28,130.411
1.281,130.368
1.282,130.421
1.283,130.289
1.284,130.294
1.285,130.400
1.286,130.383
1.287,130.417
1.288,130.439
1.289,130.424
1.29,130.441
1.291,130.413
1.292,130.251
1.293,130.245
1.294,130.285
1.295,130.169
1.296,130.097
1.297,130.077
1.298,130.017
1.299,129.907
1.3,129.942
1.301,130.018
1.302,129.969
1.303,129.993
1.304,130.063
1.305,130.124
1.306,130.129
1.307,130.145
1.308,129.995
1.309,130.021
1.31,130.068
1.311,129.964
1.312,129.920
1.313,129.916
1.314,129.812
1.315,129.747
1.316,129.818
1.317,129.826
1.318,129.803
1.319,129.844
1.32,129.907
1.321,129.972
1.322,130.011
1.323,130.022
1.324,129.963
1.325,129.956
1.326,129.856
1.327,129.813
1.328,129.891
1.329,129.751
1.33,129.637
1.331,129.628
1.332,129.694
1.333,129.652
1.334,129.666
1.335,129.726
1.336,129.730
1.337,129.728
1.338,129.879
1.339,129.894
1.34,129.831
1.341,129.774
1.342,129.792
1.343,129.726
1.344,129.727
1.345,129.675
1.346,129.619
1.347,129.584
1.348,129.562
1.349,129.458
1.35,129.509
1.351,129.605
1.352,129.566
1.353,129.567
1.354,129.726
1.355,129.740
1.356,129.732
1.357,129.687
1.358,129.695
1.359,129.721
1.36,129.630
1.361,129.631
1.362,129.656
1.363,129.586
1.364,129.532
1.365,129.543
1.366,129.564
1.367,129.555
1.368,129.627
1.369,129.673
1.37,129.719
1.371,129.817
1.372,129.888
1.373,129.857
1.374,129.798
1.375,129.895
1.376,129.812
1.377,129.822
1.378,129.861
1.379,129.791
1.38,129.737
1.381,129.721
1.382,129.674
1.383,129.714
1.384,129.764
1.385,129.778
1.386,129.821
1.387,129.937
1.388,130.052
1.389,130.065
1.39,129.976
1.391,130.039
1.392,130.039
1.393,129.951
1.394,129.996
1.395,130.068
1.396,129.966
1.397,129.907
1.398,129.906
1.399,129.957
1.4,129.955
1.401,130.018
1.402,130.065
1.403,130.110
1.404,130.207
1.405,130.232
1.406,130.268
1.407,130.313
1.408,130.268
1.409,130.186
1.41,130.225
1.411,130.291
1.412,130.243
1.413,130.166
1.414,130.218
1.415,130.248
1.416,130.218
1.417,130.269
1.418,130.275
1.419,130.370
1.42,130.439
1.421,130.533
1.422,130.501
1.423,130.618
1.424,130.620
1.425,130.534
1.426,130.513
1.427,130.574
1.428,130.541
1.429,130.506
1.43,130.441
1.431,130.454
1.432,130.414
1.433,130.467
1.434,130.492
1.435,130.528
1.436,130.644
1.437,130.725
1.438,130.782
1.439,130.789
1.44,130.831
1.441,130.897
1.442,130.808
1.443,130.761
1.444,130.892
1.445,130.827
1.446,130.729
1.447,130.731
1.448,130.796
1.449,130.705
1.45,130.761
1.451,130.834
1.452,130.892
1.453,130.943
1.454,131.069
1.455,131.071
1.456,131.112
1.457,131.135
1.458,131.100
1.459,131.088
1.46,131.139
1.461,131.096
1.462,131.061
1.463,131.058
1.464,130.995
1.465,130.947
1.466,131.056
1.467,131.062
1.468,131.037
1.469,131.120
1.47,131.263
1.471,131.288
1.472,131.297
1.473,131.345
1.474,131.354
1.475,131.290
1.476,131.292
1.477,131.317
1.478,131.331
1.479,131.236
1.48,131.183
1.481,131.176
1.482,131.186
1.483,131.224
1.484,131.254
1.485,131.268
1.486,131.343
1.487,131.425
1.488,131.436
1.489,131.519
1.49,131.602
1.491,131.491
1.492,131.414
1.493,131.542
1.494,131.487
1.495,131.377
1.496,131.365
1.497,131.418
1.498,131.302
1.499,131.251
1.5,131.392
1.501,131.397
1.502,131.406
1.503,131.443
1.504,131.561
1.505,131.613
1.506,131.644
1.507,131.621
1.508,131.599
1.509,131.593
1.51,131.615
1.511,131.536
1.512,131.456
1.513,131.460
1.514,131.423
1.515,131.364
1.516,131.389
1.517,131.498
1.518,131.552
1.519,131.529
1.52,131.567
1.521,131.739
1.522,131.787
1.523,131.805
1.524,131.820
1.525,131.818
1.526,131.829
1.527,131.808
1.528,131.693
1.529,131.693
1.53,131.731
1.531,131.652
1.532,131.603
1.533,131.753
1.534,131.781
1.535,131.798
1.536,131.962
1.537,131.989
1.538,131.972
1.539,132.085
1.54,132.169
1.541,132.068
1.542,132.047
1.543,132.092
